Age,Income,SpendingScore,MembershipYears,PurchaseFrequency,PreferredCategory,WebsiteSessions,MobileUser,Segment
23,45000,65,2,8,fashion,25,true,young_spender
45,75000,35,8,4,home,12,false,mature_saver
34,95000,85,5,15,electronics,45,true,tech_enthusiast
52,65000,25,12,3,books,8,false,conservative
28,55000,78,3,12,fashion,35,true,trendy_shopper
41,85000,45,7,6,home,18,false,family_focused
25,38000,90,1,18,entertainment,52,true,impulse_buyer
48,125000,55,15,8,luxury,22,true,premium_customer
31,72000,72,4,10,sports,30,true,active_lifestyle
55,98000,28,18,2,books,5,false,minimal_buyer
26,42000,88,1.5,16,fashion,48,true,fashion_forward
38,68000,38,6,5,home,15,false,practical_buyer
29,82000,95,2,20,electronics,58,true,early_adopter
50,115000,42,10,7,luxury,28,true,selective_luxury
35,58000,68,5,9,sports,32,true,fitness_oriented
43,78000,32,9,4,books,10,false,knowledge_seeker
27,48000,85,2,14,entertainment,42,true,experience_seeker
46,92000,48,11,6,home,20,false,home_improver
33,65000,75,4,11,fashion,38,true,style_conscious
51,108000,35,14,3,books,12,false,traditional_buyer
24,39000,92,1,19,entertainment,55,true,impulse_buyer
47,88000,40,13,5,luxury,25,false,selective_luxury
32,67000,70,5,12,sports,28,true,active_lifestyle
54,102000,30,16,2,books,7,false,minimal_buyer
30,51000,80,3,13,fashion,40,true,trendy_shopper
